"Folkmängd efter kön och år"

"kön","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"män",1874399,1903853,1929522,1958314,1981471,2001184,2023737,2040589,2025342,2014530,2016653,2034396,2057494,2082018,2104838,2127138,2151326,2180060,2205292,2228855,2215243,2215990,2218343,2230782,2252938,2273861,2290340,2296311,2301104,2315370,2317187,2325978,2327883,2336825,2364165,2389260,2412004,2437926,2466638,2486447,2506436,2526179,2535820,2544962,2566934,2584564,2605524,2626456,2654766,2677563,2698729,2718638,2740737,2756946,2777447,2794552,2817950,2841554,2849205,2868395,2898256,2925988,2944031,2948508,2964230,2972554,2982625,2990205,2999562,3007946,3020848,3037064,3053528,3066888,3079690,3090451,3100534,3111256,3125000,3142356,3160128,3180535,3207756,3240631,3279723,3319977,3366694,3407577,3449647,3480604,3506442,3535736,3562475,3583598,3605013,3633983,3659917,3685654,3706039,3722867,3740119,3763040,3782252,3805699,3840897,3882473,3919170,3942223,3959115,3996530,4035911,4048573,4051315,4054525,4067808,4081263,4092582,4104598,4109504,4115522,4119822,4118622,4117357,4116137,4120549,4127110,4137513,4152583,4175880,4212080,4244017,4270623,4294585,4320954,4356254,4366071,4369717,4371913,4375619,4380118,4392753,4408445,4427107,4446656,4466311,4486550,4523523,4563921,4603710,4649014,4690244,4726834,4765905,4814357,4872240,4930966,5013347,5082662,5142438,5195814,5222847,5260707
"kvinnor",1985329,2013486,2036377,2064250,2088590,2112957,2136940,2155092,2147738,2144227,2151872,2169781,2192918,2215954,2236721,2256153,2278387,2304482,2326571,2350046,2350425,2356255,2360772,2372813,2391510,2408908,2426849,2438590,2447153,2459039,2467794,2476773,2478982,2487325,2509018,2530000,2550564,2571706,2596280,2610955,2630005,2649049,2662932,2676329,2693877,2710321,2731531,2751257,2774834,2798878,2823674,2843161,2863455,2881637,2902160,2918188,2939616,2959293,2964645,2978642,3006233,3028328,3043489,3057251,3071888,3081008,3091743,3097718,3105628,3112134,3121343,3125382,3136836,3144678,3153400,3160055,3166354,3173466,3185214,3198947,3211304,3225939,3250444,3282196,3317625,3353772,3396991,3434469,3475241,3505577,3535387,3563004,3588131,3608718,3629651,3656129,3679074,3702957,3723636,3739956,3757848,3778988,3798896,3821808,3854303,3890033,3923918,3950551,3972078,4007740,4045318,4066592,4077814,4089903,4108883,4127179,4143597,4162518,4174933,4187488,4198115,4204411,4210127,4214436,4222072,4231029,4244002,4261500,4283008,4314956,4346613,4373496,4397428,4424155,4460127,4471425,4474782,4475712,4478703,4481308,4490039,4500683,4513681,4529014,4545081,4561202,4589734,4619006,4652637,4691668,4725326,4756021,4789988,4830507,4875115,4920051,4981806,5037580,5087747,5131775,5156448,5191619
